,매장명,주소,Tel,일시
0,031-8039-6020,분당서울대병원점,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원) 본관 1동",2023-11-16 16:35:56.752993
1,070-7802-0303,강변역점,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",2023-11-16 16:35:56.752993
2,070-4277-6756,서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,2023-11-16 16:35:56.752993
3,031-8042-7719,오산역점,"경기도 오산시 오산로 195 (오산동, 명신예식홀) .",2023-11-16 16:35:56.752993
4,02-2012-0473,용산아이파크몰점,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 4층",2023-11-16 16:35:56.752993
5,02-2655-2290,등촌역점,서울특별시 강서구 등촌로 229 (등촌동) ,2023-11-16 16:35:56.752993
6,051-323-0305,부산서부터미널점,"부산광역시 사상구 사상로 201 (괘법동, 서부시외버스터미널) .",2023-11-16 16:35:56.752993
7,033-253-0425,춘천강원대점,강원특별자치도 춘천시 서부대성로 229 (효자동) .,2023-11-16 16:35:56.752993
8,032-710-3810,송도대홍프라자점,인천광역시 연수구 해돋이로152번길 9 (송도동) .,2023-11-16 16:35:56.752993
9,061-902-7288,순천조례점,"전라남도 순천시 충효로 109 (조례동, 디지털프라자전자랜드) 조례동 1264",2023-11-16 16:35:56.752993
10,.,진주혁신도시점,경상남도 진주시 에나로128번길 24 (충무공동) .,2023-11-16 16:35:57.161966
11,041-733-4855,논산내동점,"충청남도 논산시 대학로65번길 6-5 (내동) 101,102,201호",2023-11-16 16:35:57.161966
12,02-2625-4854,오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",2023-11-16 16:35:57.161966
13,032-665-8255,부천역점,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",2023-11-16 16:35:57.161966
14,031-233-4686,화성병점점,"경기도 화성시 병점동로 105 1,2층(진안동)",2023-11-16 16:35:57.161966
15,063-467-1199,군산은파유원지DI점,전라북도 군산시 백토로 284-35 (나운동) .,2023-11-16 16:35:57.161966
